Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mitchell Robinson,C,23,NYK,71,61,25.6,3.6,4.7,.761,0.0,0.0,0,3.6,4.7,.761,.761,1.2,2.5,.486,4.1,4.5,8.5,0.5,0.8,1.8,0.8,2.7,8.4
Jeremiah Robinson-Earl,C,21,OKC,47,36,22.4,2.6,6.6,.399,1.1,3.4,.335,1.5,3.2,.467,.485,0.7,1.0,.729,1.6,4.1,5.7,1.0,0.6,0.3,0.8,1.6,7.1
Isaiah Roby,PF,23,OKC,40,23,20.4,3.5,6.7,.519,0.8,1.8,.425,2.7,4.8,.554,.577,1.8,2.5,.700,1.7,3.1,4.8,1.5,0.8,0.7,0.9,2.4,9.4
Rajon Rondo,PG,35,CLE,17,1,20.4,2.4,5.5,.426,1.1,2.9,.367,1.3,2.6,.489,.521,1.1,1.4,.750,0.2,2.8,3.0,4.6,0.8,0.1,1.8,1.4,6.8
Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,.445,1.4,3.5,.402,3.3,7.0,.467,.513,1.2,1.2,.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0
Terrence Ross,SG,30,ORL,62,0,23.0,3.5,8.8,.399,1.2,4.1,.296,2.3,4.6,.491,.469,1.7,2.0,.864,0.3,2.2,2.5,1.8,0.5,0.2,1.2,1.1,10.0
Terry Rozier,SG,27,CHO,69,69,33.9,7.0,16.0,.440,3.1,8.2,.377,3.9,7.8,.506,.536,2.1,2.5,.850,0.8,3.6,4.3,4.4,1.3,0.3,1.4,1.7,19.3
Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,.363,1.7,5.1,.339,2.6,7.0,.380,.434,2.6,3.0,.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
D'Angelo Russell,PG,25,MIN,63,63,32.0,6.1,15.0,.410,2.7,8.0,.339,3.4,7.0,.489,.499,3.1,3.7,.825,0.4,3.0,3.4,7.0,0.9,0.3,2.5,2.0,18.0
Domantas Sabonis,PF,25,SAC,15,15,33.6,7.5,13.5,.554,0.3,1.1,.235,7.2,12.3,.584,.564,3.7,4.9,.743,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,18.9
Olivier Sarr,C,22,OKC,20,2,18.0,2.3,4.1,.568,0.4,1.1,.381,1.9,3.0,.633,.617,1.0,1.2,.792,1.4,2.4,3.8,0.9,0.3,0.6,1.0,2.4,6.0
Tomáš Satoranský,SG,30,WAS,17,5,18.2,1.5,3.5,.441,0.2,0.9,.250,1.3,2.5,.512,.475,1.1,1.2,.857,0.4,2.5,2.9,4.2,0.8,0.2,0.9,1.7,4.4
Jordan Schakel,SG,23,WAS,2,0,7.0,0.0,3.0,.000,0.0,1.5,.000,0.0,1.5,.000,.000,0.0,0.0,0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,SF,24,ORL,36,1,11.9,1.4,3.2,.430,0.6,1.9,.319,0.8,1.3,.600,.526,0.3,0.4,.769,0.4,1.8,2.2,0.7,0.1,0.1,0.5,1.5,3.6
Dennis Schröder,PG,28,HOU,15,4,26.9,3.7,9.3,.393,1.3,3.9,.328,2.4,5.5,.439,.461,2.3,2.6,.872,0.4,2.9,3.3,5.9,0.8,0.2,2.6,2.5,10.9
Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.0,0.0,0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
