Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nic Claxton,51,C,22,BRK,43,19,20.6,3.8,5.6,0.672,0.0,0.0,0.0,3.8,5.6,0.672,0.672,1.2,2.0,0.58,1.9,3.6,5.5,0.9,0.5,1.1,0.8,2.2,8.7
Amir Coffey,52,SG,24,LAC,65,29,23.2,3.0,6.8,0.449,1.4,3.7,0.369,1.7,3.1,0.545,0.55,1.5,1.7,0.858,0.4,2.4,2.8,1.8,0.6,0.2,0.6,1.3,9.0
Mike Conley,54,PG,34,UTA,69,69,28.5,4.8,10.9,0.436,2.4,5.8,0.41,2.4,5.2,0.466,0.544,1.8,2.2,0.812,0.7,2.3,3.0,5.3,1.3,0.3,1.7,1.9,13.7
Pat Connaughton,55,SG,29,MIL,61,19,26.3,3.6,7.7,0.461,2.3,5.8,0.396,1.3,2.0,0.65,0.608,0.7,0.8,0.824,0.7,3.6,4.3,1.3,0.9,0.2,0.5,1.3,10.1
Robert Covington,56,SF,31,LAC,19,1,22.9,3.7,7.2,0.515,2.2,4.7,0.461,1.5,2.5,0.617,0.665,1.2,1.3,0.88,0.7,4.3,5.0,1.1,1.3,1.4,0.8,2.6,10.7
Torrey Craig,57,SF,31,PHO,22,2,21.0,2.5,5.7,0.44,1.0,3.3,0.292,1.5,2.4,0.642,0.524,0.5,0.8,0.706,0.9,3.7,4.6,1.3,0.8,0.6,1.0,2.0,6.5
Jae Crowder,58,PF,31,PHO,65,65,28.3,3.3,8.1,0.403,1.9,5.4,0.351,1.4,2.7,0.509,0.521,1.1,1.4,0.798,0.4,4.8,5.3,1.8,1.4,0.4,0.8,2.6,9.5
Hamidou Diallo,64,SG,23,DET,58,29,21.9,4.5,9.1,0.496,0.4,1.6,0.247,4.1,7.5,0.55,0.518,1.6,2.4,0.65,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0
Donte DiVincenzo,66,SG,25,SAC,21,1,26.6,3.1,8.5,0.363,2.1,5.6,0.373,1.0,2.9,0.344,0.486,1.8,2.0,0.86,1.0,3.5,4.5,3.7,1.5,0.2,1.6,1.7,10.0
Ayo Dosunmu,69,SG,22,CHI,73,37,27.3,3.5,6.8,0.516,0.9,2.4,0.369,2.6,4.4,0.597,0.582,0.6,0.9,0.676,0.3,2.4,2.7,3.3,0.7,0.4,1.3,2.4,8.5
Goran Dragić,70,PG,35,BRK,16,6,25.5,2.8,7.3,0.376,0.8,3.1,0.245,2.0,4.3,0.471,0.427,1.1,1.4,0.739,0.7,2.5,3.2,4.8,0.9,0.2,2.1,2.3,7.3
Chris Duarte,72,SG,24,IND,55,39,28.0,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2.0,0.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1
Kris Dunn,73,PG,27,POR,11,1,23.5,3.6,7.4,0.494,0.1,0.6,0.143,3.5,6.7,0.527,0.5,1.3,1.3,1.0,0.5,2.6,3.1,5.4,1.8,0.3,2.0,2.7,8.6
